SampleID,P,N,E,variable,value,label,unit,group
W-N3-7,Wheat,150%,-E,N_availability,81.0344877831456,Available N,mg kg^-1,available_N
W-N3-7,Wheat,150%,-E,pH,7.26,pH,,supplement
W-N3-7,Wheat,150%,-E,Soil_moisture,16.4144353899884,Soil moisture,%,supplement
W-N4-1,Wheat,200%,-E,TC_gkg,21.1161708831787,TC,g kg^-1,core
W-N4-1,Wheat,200%,-E,TN_gkg,0.677574053406715,TN,g kg^-1,core
W-N4-1,Wheat,200%,-E,SOC_gkg,1.87903728057859,SOC,g kg^-1,core
W-N4-1,Wheat,200%,-E,NO3_N,423.243865950885,NO3-N,mg kg^-1,available_N
W-N4-1,Wheat,200%,-E,NH4_N,27.4302163627973,NH4-N,mg kg^-1,available_N
W-N4-1,Wheat,200%,-E,N_availability,450.674082313682,Available N,mg kg^-1,available_N
W-N4-1,Wheat,200%,-E,pH,7.08,pH,,supplement
W-N4-1,Wheat,200%,-E,Soil_moisture,11.2347052280312,Soil moisture,%,supplement
W-N4-3,Wheat,200%,-E,TC_gkg,15.7262170314789,TC,g kg^-1,core
W-N4-3,Wheat,200%,-E,TN_gkg,0.726501643657684,TN,g kg^-1,core
W-N4-3,Wheat,200%,-E,SOC_gkg,1.93156384210879,SOC,g kg^-1,core
W-N4-3,Wheat,200%,-E,NO3_N,428.064826691699,NO3-N,mg kg^-1,available_N
W-N4-3,Wheat,200%,-E,NH4_N,16.8804483892077,NH4-N,mg kg^-1,available_N
W-N4-3,Wheat,200%,-E,N_availability,444.945275080906,Available N,mg kg^-1,available_N
W-N4-3,Wheat,200%,-E,pH,7.03,pH,,supplement
W-N4-3,Wheat,200%,-E,Soil_moisture,7.87486515641856,Soil moisture,%,supplement
W-N4-7,Wheat,200%,-E,TC_gkg,17.8367972373962,TC,g kg^-1,core
W-N4-7,Wheat,200%,-E,TN_gkg,0.602516233921051,TN,g kg^-1,core
W-N4-7,Wheat,200%,-E,SOC_gkg,0.791148208954438,SOC,g kg^-1,core
W-N4-7,Wheat,200%,-E,NO3_N,410.557740280817,NO3-N,mg kg^-1,available_N
W-N4-7,Wheat,200%,-E,NH4_N,29.0705915275413,NH4-N,mg kg^-1,available_N
W-N4-7,Wheat,200%,-E,N_availability,439.628331808358,Available N,mg kg^-1,available_N
W-N4-7,Wheat,200%,-E,pH,7.3,pH,,supplement
W-N4-7,Wheat,200%,-E,Soil_moisture,7.70059235325794,Soil moisture,%,supplement
W-N1+E-1,Wheat,50%,+E,TC_gkg,16.9525587558746,TC,g kg^-1,core
W-N1+E-1,Wheat,50%,+E,TN_gkg,0.562440678477287,TN,g kg^-1,core
W-N1+E-1,Wheat,50%,+E,SOC_gkg,1.51569209828997,SOC,g kg^-1,core
W-N1+E-1,Wheat,50%,+E,NO3_N,44.5877320515046,NO3-N,mg kg^-1,available_N
W-N1+E-1,Wheat,50%,+E,NH4_N,27.0374065522938,NH4-N,mg kg^-1,available_N
W-N1+E-1,Wheat,50%,+E,N_availability,71.6251386037984,Available N,mg kg^-1,available_N
W-N1+E-1,Wheat,50%,+E,pH,7.28,pH,,supplement
W-N1+E-1,Wheat,50%,+E,Soil_moisture,15.8748551564311,Soil moisture,%,supplement
W-N1+E-6,Wheat,50%,+E,TC_gkg,14.6696841716766,TC,g kg^-1,core
W-N1+E-6,Wheat,50%,+E,TN_gkg,0.541969537734985,TN,g kg^-1,core
W-N1+E-6,Wheat,50%,+E,SOC_gkg,2.40877428999777,SOC,g kg^-1,core
W-N1+E-6,Wheat,50%,+E,NO3_N,383.906737774627,NO3-N,mg kg^-1,available_N
W-N1+E-6,Wheat,50%,+E,NH4_N,17.1731444096123,NH4-N,mg kg^-1,available_N
W-N1+E-6,Wheat,50%,+E,N_availability,401.07988218424,Available N,mg kg^-1,available_N
W-N1+E-6,Wheat,50%,+E,pH,7.22,pH,,supplement
W-N1+E-6,Wheat,50%,+E,Soil_moisture,12.549240292628,Soil moisture,%,supplement
W-N1+E-8,Wheat,50%,+E,TC_gkg,16.0178554058075,TC,g kg^-1,core
W-N1+E-8,Wheat,50%,+E,TN_gkg,1.34735092520714,TN,g kg^-1,core
W-N1+E-8,Wheat,50%,+E,SOC_gkg,1.70321750678647,SOC,g kg^-1,core
W-N1+E-8,Wheat,50%,+E,NO3_N,48.4047255565551,NO3-N,mg kg^-1,available_N
W-N1+E-8,Wheat,50%,+E,NH4_N,11.5276407407642,NH4-N,mg kg^-1,available_N
W-N1+E-8,Wheat,50%,+E,N_availability,59.9323662973192,Available N,mg kg^-1,available_N
W-N1+E-8,Wheat,50%,+E,pH,7.26,pH,,supplement
W-N1+E-8,Wheat,50%,+E,Soil_moisture,15.3402537485582,Soil moisture,%,supplement
