SampleID,P,N,E,variable,value,label,unit,group
R-N1+E-16,Ryegrass,50%,+E,TN_gkg,1.70926138758659,TN,g kg^-1,core
R-N1+E-16,Ryegrass,50%,+E,SOC_gkg,1.49330106960137,SOC,g kg^-1,core
R-N1+E-16,Ryegrass,50%,+E,NO3_N,51.5803973064796,NO3-N,mg kg^-1,available_N
R-N1+E-16,Ryegrass,50%,+E,NH4_N,8.61001917537223,NH4-N,mg kg^-1,available_N
R-N1+E-16,Ryegrass,50%,+E,N_availability,60.1904164818518,Available N,mg kg^-1,available_N
R-N1+E-16,Ryegrass,50%,+E,pH,7.12,pH,,supplement
R-N1+E-16,Ryegrass,50%,+E,Soil_moisture,26.4687302590019,Soil moisture,%,supplement
R-N1+E-17,Ryegrass,50%,+E,TC_gkg,12.9006361961365,TC,g kg^-1,core
R-N1+E-17,Ryegrass,50%,+E,TN_gkg,1.56297504901886,TN,g kg^-1,core
R-N1+E-17,Ryegrass,50%,+E,SOC_gkg,1.6149338739868,SOC,g kg^-1,core
R-N1+E-17,Ryegrass,50%,+E,NO3_N,35.7963742138358,NO3-N,mg kg^-1,available_N
R-N1+E-17,Ryegrass,50%,+E,NH4_N,5.96050549444031,NH4-N,mg kg^-1,available_N
R-N1+E-17,Ryegrass,50%,+E,N_availability,41.7568797082761,Available N,mg kg^-1,available_N
R-N1+E-17,Ryegrass,50%,+E,pH,7.09,pH,,supplement
R-N1+E-17,Ryegrass,50%,+E,Soil_moisture,17.7058823529412,Soil moisture,%,supplement
R-N1+E-20,Ryegrass,50%,+E,TC_gkg,13.4590864181519,TC,g kg^-1,core
R-N1+E-20,Ryegrass,50%,+E,TN_gkg,0.900365263223648,TN,g kg^-1,core
R-N1+E-20,Ryegrass,50%,+E,SOC_gkg,1.99477615274723,SOC,g kg^-1,core
R-N1+E-20,Ryegrass,50%,+E,NO3_N,52.1662408565653,NO3-N,mg kg^-1,available_N
R-N1+E-20,Ryegrass,50%,+E,NH4_N,8.82829677409571,NH4-N,mg kg^-1,available_N
R-N1+E-20,Ryegrass,50%,+E,N_availability,60.994537630661,Available N,mg kg^-1,available_N
R-N1+E-20,Ryegrass,50%,+E,pH,7.16,pH,,supplement
R-N1+E-20,Ryegrass,50%,+E,Soil_moisture,21.2946158499697,Soil moisture,%,supplement
R-N2+E-12,Ryegrass,100%,+E,TC_gkg,18.2189762592316,TC,g kg^-1,core
R-N2+E-12,Ryegrass,100%,+E,TN_gkg,0.704611912369728,TN,g kg^-1,core
R-N2+E-12,Ryegrass,100%,+E,SOC_gkg,2.73256557631362,SOC,g kg^-1,core
R-N2+E-12,Ryegrass,100%,+E,NO3_N,27.4700728293496,NO3-N,mg kg^-1,available_N
R-N2+E-12,Ryegrass,100%,+E,NH4_N,10.3603674135972,NH4-N,mg kg^-1,available_N
R-N2+E-12,Ryegrass,100%,+E,N_availability,37.8304402429468,Available N,mg kg^-1,available_N
R-N2+E-12,Ryegrass,100%,+E,pH,7.02,pH,,supplement
R-N2+E-12,Ryegrass,100%,+E,Soil_moisture,16.144018583043,Soil moisture,%,supplement
R-N2+E-15,Ryegrass,100%,+E,TC_gkg,18.2238793373108,TC,g kg^-1,core
R-N2+E-15,Ryegrass,100%,+E,TN_gkg,0.722729489207268,TN,g kg^-1,core
R-N2+E-15,Ryegrass,100%,+E,SOC_gkg,1.64803443435699,SOC,g kg^-1,core
R-N2+E-15,Ryegrass,100%,+E,NO3_N,27.915357851404,NO3-N,mg kg^-1,available_N
R-N2+E-15,Ryegrass,100%,+E,NH4_N,9.50011309119528,NH4-N,mg kg^-1,available_N
R-N2+E-15,Ryegrass,100%,+E,N_availability,37.4154709425993,Available N,mg kg^-1,available_N
R-N2+E-15,Ryegrass,100%,+E,pH,7.18,pH,,supplement
R-N2+E-15,Ryegrass,100%,+E,Soil_moisture,18.8645771732703,Soil moisture,%,supplement
R-N2+E-19,Ryegrass,100%,+E,TC_gkg,17.4627661705017,TC,g kg^-1,core
R-N2+E-19,Ryegrass,100%,+E,TN_gkg,1.31427749991417,TN,g kg^-1,core
R-N2+E-19,Ryegrass,100%,+E,SOC_gkg,1.92220676170523,SOC,g kg^-1,core
R-N2+E-19,Ryegrass,100%,+E,NO3_N,38.9006529940405,NO3-N,mg kg^-1,available_N
R-N2+E-19,Ryegrass,100%,+E,NH4_N,6.13210445557625,NH4-N,mg kg^-1,available_N
R-N2+E-19,Ryegrass,100%,+E,N_availability,45.0327574496168,Available N,mg kg^-1,available_N
R-N2+E-19,Ryegrass,100%,+E,pH,7.06,pH,,supplement
R-N2+E-19,Ryegrass,100%,+E,Soil_moisture,19.2170818505338,Soil moisture,%,supplement
R-N3+E-11,Ryegrass,150%,+E,TC_gkg,15.7100474834442,TC,g kg^-1,core
R-N3+E-11,Ryegrass,150%,+E,TN_gkg,0.648259073495865,TN,g kg^-1,core
R-N3+E-11,Ryegrass,150%,+E,SOC_gkg,2.07041713051208,SOC,g kg^-1,core
R-N3+E-11,Ryegrass,150%,+E,NO3_N,52.10705382124,NO3-N,mg kg^-1,available_N
R-N3+E-11,Ryegrass,150%,+E,NH4_N,5.76132959523879,NH4-N,mg kg^-1,available_N
R-N3+E-11,Ryegrass,150%,+E,N_availability,57.8683834164788,Available N,mg kg^-1,available_N
R-N3+E-11,Ryegrass,150%,+E,pH,7.15,pH,,supplement
R-N3+E-11,Ryegrass,150%,+E,Soil_moisture,15.0802752293578,Soil moisture,%,supplement
R-N3+E-13,Ryegrass,150%,+E,TC_gkg,14.1707527637482,TC,g kg^-1,core
R-N3+E-13,Ryegrass,150%,+E,TN_gkg,1.28992408514023,TN,g kg^-1,core
R-N3+E-13,Ryegrass,150%,+E,SOC_gkg,0.996913801033443,SOC,g kg^-1,core
R-N3+E-13,Ryegrass,150%,+E,NO3_N,23.3203225456067,NO3-N,mg kg^-1,available_N
R-N3+E-13,Ryegrass,150%,+E,NH4_N,14.1862414594907,NH4-N,mg kg^-1,available_N
R-N3+E-13,Ryegrass,150%,+E,N_availability,37.5065640050974,Available N,mg kg^-1,available_N
R-N3+E-13,Ryegrass,150%,+E,pH,7.18,pH,,supplement
R-N3+E-13,Ryegrass,150%,+E,Soil_moisture,19.4029850746269,Soil moisture,%,supplement
R-N3+E-15,Ryegrass,150%,+E,TC_gkg,15.5908942222595,TC,g kg^-1,core
R-N3+E-15,Ryegrass,150%,+E,TN_gkg,0.78883983194828,TN,g kg^-1,core
R-N3+E-15,Ryegrass,150%,+E,SOC_gkg,2.34557400941849,SOC,g kg^-1,core
R-N3+E-15,Ryegrass,150%,+E,NO3_N,48.3675725851883,NO3-N,mg kg^-1,available_N
R-N3+E-15,Ryegrass,150%,+E,NH4_N,10.4900027636366,NH4-N,mg kg^-1,available_N
R-N3+E-15,Ryegrass,150%,+E,N_availability,58.8575753488249,Available N,mg kg^-1,available_N
R-N3+E-15,Ryegrass,150%,+E,pH,7.18,pH,,supplement
R-N3+E-15,Ryegrass,150%,+E,Soil_moisture,12.2562674094707,Soil moisture,%,supplement
R-N4+E-12,Ryegrass,200%,+E,TC_gkg,15.9988749027252,TC,g kg^-1,core
R-N4+E-12,Ryegrass,200%,+E,TN_gkg,0.690933018922806,TN,g kg^-1,core
R-N4+E-12,Ryegrass,200%,+E,SOC_gkg,2.09012821408773,SOC,g kg^-1,core
R-N4+E-12,Ryegrass,200%,+E,NO3_N,57.8044576973751,NO3-N,mg kg^-1,available_N
R-N4+E-12,Ryegrass,200%,+E,NH4_N,5.78691046813439,NH4-N,mg kg^-1,available_N
R-N4+E-12,Ryegrass,200%,+E,N_availability,63.5913681655095,Available N,mg kg^-1,available_N
R-N4+E-12,Ryegrass,200%,+E,pH,7.31,pH,,supplement
R-N4+E-12,Ryegrass,200%,+E,Soil_moisture,15.5172413793104,Soil moisture,%,supplement
R-N4+E-13,Ryegrass,200%,+E,TC_gkg,16.6016912460327,TC,g kg^-1,core
R-N4+E-13,Ryegrass,200%,+E,TN_gkg,1.3029870390892,TN,g kg^-1,core
R-N4+E-13,Ryegrass,200%,+E,SOC_gkg,1.51184955154724,SOC,g kg^-1,core
R-N4+E-13,Ryegrass,200%,+E,NO3_N,44.2646686001068,NO3-N,mg kg^-1,available_N
R-N4+E-13,Ryegrass,200%,+E,NH4_N,5.58866787872714,NH4-N,mg kg^-1,available_N
R-N4+E-13,Ryegrass,200%,+E,N_availability,49.853336478834,Available N,mg kg^-1,available_N
R-N4+E-13,Ryegrass,200%,+E,pH,7.03,pH,,supplement
R-N4+E-13,Ryegrass,200%,+E,Soil_moisture,16.4144353899884,Soil moisture,%,supplement
R-N4+E-20,Ryegrass,200%,+E,TC_gkg,15.4808187484741,TC,g kg^-1,core
R-N4+E-20,Ryegrass,200%,+E,TN_gkg,1.02566465735435,TN,g kg^-1,core
R-N4+E-20,Ryegrass,200%,+E,SOC_gkg,2.09860791545189,SOC,g kg^-1,core
R-N4+E-20,Ryegrass,200%,+E,NO3_N,42.6974806439402,NO3-N,mg kg^-1,available_N
R-N4+E-20,Ryegrass,200%,+E,NH4_N,8.89823510607737,NH4-N,mg kg^-1,available_N
R-N4+E-20,Ryegrass,200%,+E,N_availability,51.5957157500176,Available N,mg kg^-1,available_N
R-N4+E-20,Ryegrass,200%,+E,pH,7.03,pH,,supplement
R-N4+E-20,Ryegrass,200%,+E,Soil_moisture,21.1943793911007,Soil moisture,%,supplement
