SampleID,作物,氮水平,蚯蚓处理,variable,variable_label,value,unit,variable_group
W-N3-1,小麦,150%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,9.58904109589041,%,supplement
W-N3-3,小麦,150%氮肥,不加蚯蚓,TC_gkg,TC,14.020129442215,g kg^-1,C_N_pool
W-N3-3,小麦,150%氮肥,不加蚯蚓,TN_gkg,TN,0.443558506667614,g kg^-1,C_N_pool
W-N3-3,小麦,150%氮肥,不加蚯蚓,SOC_gkg,SOC,1.59362228833676,g kg^-1,C_N_pool
W-N3-3,小麦,150%氮肥,不加蚯蚓,NO3_N,NO3--N,300.406795251565,mg kg^-1,available_N
W-N3-3,小麦,150%氮肥,不加蚯蚓,NH4_N,NH4+-N,21.7882521113412,mg kg^-1,available_N
W-N3-3,小麦,150%氮肥,不加蚯蚓,N_availability,Available N,322.195047362906,mg kg^-1,available_N
W-N3-3,小麦,150%氮肥,不加蚯蚓,pH,pH,7.39,none,supplement
W-N3-3,小麦,150%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,9.28961748633879,%,supplement
W-N3-7,小麦,150%氮肥,不加蚯蚓,TC_gkg,TC,16.831134557724,g kg^-1,C_N_pool
W-N3-7,小麦,150%氮肥,不加蚯蚓,TN_gkg,TN,0.643720328807831,g kg^-1,C_N_pool
W-N3-7,小麦,150%氮肥,不加蚯蚓,SOC_gkg,SOC,1.18498458266258,g kg^-1,C_N_pool
W-N3-7,小麦,150%氮肥,不加蚯蚓,NO3_N,NO3--N,44.9403586704046,mg kg^-1,available_N
W-N3-7,小麦,150%氮肥,不加蚯蚓,NH4_N,NH4+-N,36.094129112741,mg kg^-1,available_N
W-N3-7,小麦,150%氮肥,不加蚯蚓,N_availability,Available N,81.0344877831456,mg kg^-1,available_N
W-N3-7,小麦,150%氮肥,不加蚯蚓,pH,pH,7.26,none,supplement
W-N3-7,小麦,150%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,16.4144353899884,%,supplement
W-N4-1,小麦,200%氮肥,不加蚯蚓,TC_gkg,TC,21.1161708831787,g kg^-1,C_N_pool
W-N4-1,小麦,200%氮肥,不加蚯蚓,TN_gkg,TN,0.677574053406715,g kg^-1,C_N_pool
W-N4-1,小麦,200%氮肥,不加蚯蚓,SOC_gkg,SOC,1.87903728057859,g kg^-1,C_N_pool
W-N4-1,小麦,200%氮肥,不加蚯蚓,NO3_N,NO3--N,423.243865950885,mg kg^-1,available_N
W-N4-1,小麦,200%氮肥,不加蚯蚓,NH4_N,NH4+-N,27.4302163627973,mg kg^-1,available_N
W-N4-1,小麦,200%氮肥,不加蚯蚓,N_availability,Available N,450.674082313682,mg kg^-1,available_N
W-N4-1,小麦,200%氮肥,不加蚯蚓,pH,pH,7.08,none,supplement
W-N4-1,小麦,200%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,11.2347052280312,%,supplement
W-N4-3,小麦,200%氮肥,不加蚯蚓,TC_gkg,TC,15.7262170314789,g kg^-1,C_N_pool
W-N4-3,小麦,200%氮肥,不加蚯蚓,TN_gkg,TN,0.726501643657684,g kg^-1,C_N_pool
W-N4-3,小麦,200%氮肥,不加蚯蚓,SOC_gkg,SOC,1.93156384210879,g kg^-1,C_N_pool
W-N4-3,小麦,200%氮肥,不加蚯蚓,NO3_N,NO3--N,428.064826691699,mg kg^-1,available_N
W-N4-3,小麦,200%氮肥,不加蚯蚓,NH4_N,NH4+-N,16.8804483892077,mg kg^-1,available_N
W-N4-3,小麦,200%氮肥,不加蚯蚓,N_availability,Available N,444.945275080906,mg kg^-1,available_N
W-N4-3,小麦,200%氮肥,不加蚯蚓,pH,pH,7.03,none,supplement
W-N4-3,小麦,200%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,7.87486515641856,%,supplement
W-N4-7,小麦,200%氮肥,不加蚯蚓,TC_gkg,TC,17.8367972373962,g kg^-1,C_N_pool
W-N4-7,小麦,200%氮肥,不加蚯蚓,TN_gkg,TN,0.602516233921051,g kg^-1,C_N_pool
