SampleID,作物,氮水平,蚯蚓处理,TN_gkg,TC_gkg,SOC_gkg,NO3_N,NH4_N,N_availability,pH,Soil_moisture
W-N1-1,小麦,50%氮肥,不加蚯蚓,0.527803227305412,14.301609992981,1.78457487751764,52.6927370531455,32.787362600467,85.4800996536125,7.25,7.04375667022412
W-N1-3,小麦,50%氮肥,不加蚯蚓,1.27231806516647,15.9806001186371,0.820560149126071,42.7379122619837,18.4839359839902,61.2218482459739,7.23,21.1736237144586
W-N1-7,小麦,50%氮肥,不加蚯蚓,0.454978197813034,11.8988227844238,1.07288670906712,55.5759706497192,31.0768193244934,86.6527899742126,7.29,11.2222222222222
W-N2-1,小麦,100%氮肥,不加蚯蚓,0.635541826486588,17.393285036087,1.42083826474809,59.0225798150768,26.9264576124109,85.9490374274876,7.15,15.9420289855072
W-N2-3,小麦,100%氮肥,不加蚯蚓,0.673337280750275,18.2169651985168,0.539746324458723,241.105691565842,24.2062673021535,265.311958867995,7.33,9.28961748633879
W-N2-7,小麦,100%氮肥,不加蚯蚓,0.524541214108467,17.2049415111542,2.49960720312866,275.706461058838,33.7395909490346,309.446052007873,7.22,9.05125408942201
W-N3-1,小麦,150%氮肥,不加蚯蚓,0.602788329124451,15.4733026027679,1.58368351648273,53.6498464819503,2.75254656231567,56.402393044266,7.05,9.58904109589041
W-N3-3,小麦,150%氮肥,不加蚯蚓,0.443558506667614,14.020129442215,1.59362228833676,300.406795251565,21.7882521113412,322.195047362906,7.39,9.28961748633879
W-N3-7,小麦,150%氮肥,不加蚯蚓,0.643720328807831,16.831134557724,1.18498458266258,44.9403586704046,36.094129112741,81.0344877831456,7.26,16.4144353899884
W-N4-1,小麦,200%氮肥,不加蚯蚓,0.677574053406715,21.1161708831787,1.87903728057859,423.243865950885,27.4302163627973,450.674082313682,7.08,11.2347052280312
W-N4-3,小麦,200%氮肥,不加蚯蚓,0.726501643657684,15.7262170314789,1.93156384210879,428.064826691699,16.8804483892077,444.945275080906,7.03,7.87486515641856
W-N4-7,小麦,200%氮肥,不加蚯蚓,0.602516233921051,17.8367972373962,0.791148208954438,410.557740280817,29.0705915275413,439.628331808358,7.3,7.70059235325794
W-N1+E-1,小麦,50%氮肥,加蚯蚓,0.562440678477287,16.9525587558746,1.51569209828997,44.5877320515046,27.0374065522938,71.6251386037984,7.28,15.8748551564311
